{'time': '11:45:14', 'temperature': 37, 'pH': 7.8, 'pump': 'on', 'acid_valve': 'on', 'base_valve': 'off', 'agitator': 'on'}
{'time': '11:50:14', 'temperature': 37.5, 'pH': 7.5, 'pump': 'on', 'acid_valve': 'on', 'base_valve': 'off', 'agitator': 'on'}
{'time': '11:55:14', 'temperature': 38.0, 'pH': 7.2, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '12:00:14', 'temperature': 38.5, 'pH': 7.1000000000000005, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'off'}
{'time': '12:05:14', 'temperature': 39.0, 'pH': 7.000000000000001, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'off'}
{'time': '12:10:14', 'temperature': 39.5, 'pH': 6.900000000000001, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'off'}
{'time': '12:15:14', 'temperature': 40.0, 'pH': 6.800000000000002, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'off'}
{'time': '12:20:14', 'temperature': 40.5, 'pH': 6.700000000000002, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '12:25:14', 'temperature': 41.0, 'pH': 6.900000000000002, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '12:30:14', 'temperature': 41.5, 'pH': 6.8000000000000025, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '12:35:14', 'temperature': 42.0, 'pH': 6.700000000000003, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '12:40:14', 'temperature': 42.5, 'pH': 6.900000000000003, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '12:45:14', 'temperature': 43.0, 'pH': 6.800000000000003, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '12:50:14', 'temperature': 43.5, 'pH': 6.700000000000004, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '12:55:14', 'temperature': 44.0, 'pH': 6.900000000000004, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:00:14', 'temperature': 44.5, 'pH': 6.800000000000004, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:05:14', 'temperature': 45.0, 'pH': 6.700000000000005, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '13:10:14', 'temperature': 45.5, 'pH': 6.900000000000005, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:15:14', 'temperature': 46.0, 'pH': 6.800000000000005, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:20:14', 'temperature': 46.5, 'pH': 6.7000000000000055, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '13:25:14', 'temperature': 47.0, 'pH': 6.900000000000006, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:30:14', 'temperature': 47.5, 'pH': 6.800000000000006, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:35:14', 'temperature': 48.0, 'pH': 6.700000000000006, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '13:40:14', 'temperature': 48.5, 'pH': 6.900000000000007, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:45:14', 'temperature': 49.0, 'pH': 6.800000000000007, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '13:50:14', 'temperature': 49.5, 'pH': 6.700000000000007, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '13:55:14', 'temperature': 50.0, 'pH': 6.9000000000000075, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:00:14', 'temperature': 50.5, 'pH': 6.800000000000008, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:05:14', 'temperature': 51.0, 'pH': 6.700000000000008, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '14:10:14', 'temperature': 51.5, 'pH': 6.900000000000008, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:15:14', 'temperature': 52.0, 'pH': 6.800000000000009, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:20:14', 'temperature': 52.5, 'pH': 6.700000000000009, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '14:25:14', 'temperature': 53.0, 'pH': 6.900000000000009, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:30:14', 'temperature': 53.5, 'pH': 6.80000000000001, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:35:14', 'temperature': 54.0, 'pH': 6.70000000000001, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '14:40:14', 'temperature': 54.5, 'pH': 6.90000000000001, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:45:14', 'temperature': 55.0, 'pH': 6.8000000000000105, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '14:50:14', 'temperature': 54.8, 'pH': 6.700000000000011, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '14:55:14', 'temperature': 55.3, 'pH': 6.900000000000011, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:00:14', 'temperature': 55.099999999999994, 'pH': 6.800000000000011, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:05:14', 'temperature': 54.89999999999999, 'pH': 6.700000000000012, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '15:10:14', 'temperature': 55.39999999999999, 'pH': 6.900000000000012, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:15:14', 'temperature': 55.19999999999999, 'pH': 6.800000000000012, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:20:14', 'temperature': 54.999999999999986, 'pH': 6.700000000000013, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '15:25:14', 'temperature': 55.499999999999986, 'pH': 6.900000000000013, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:30:14', 'temperature': 55.29999999999998, 'pH': 6.800000000000013, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:35:14', 'temperature': 55.09999999999998, 'pH': 6.7000000000000135, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '15:40:14', 'temperature': 54.89999999999998, 'pH': 6.900000000000014, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:45:14', 'temperature': 55.39999999999998, 'pH': 6.800000000000014, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '15:50:14', 'temperature': 55.199999999999974, 'pH': 6.700000000000014, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '15:55:14', 'temperature': 54.99999999999997, 'pH': 6.900000000000015, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
